2024110617251.txt,"appreciation,unprecedented,powerful,greatest,overcame,","furious,obstacles,concession,concede,",-0.2
2024110703101.txt,"live, supporters, gathered, delivered, elected, president, estimated, confidence, congratulated, win, strengthening, cooperation, allies, strengths, successful, partnership, enduring, discussed,","lost, hard, narrow, warning, fabricated, undermine, falsely, pressure, threats, war, targeting, provision, restrict, falsely, falsely, falsely, falsely, false, threats, war, targeting, provision, restrict, cheated, fraud,",0.0
20241107105811.txt,"privilege,amazing,notable,significant,hope,win,well-established,lead,upholds,upholds,","devastating,devastating,loss,loss,defeated,defeating,challenger,challenger,criminal,",-0.1
2024110620231.txt,"congratulate, peaceful, glorious, golden, optimistic, destiny, surge, popularity, optimistic, protecting, leaders, mission, win, important, enjoyed, resurgence, winning, key,","defeated, recede, concede, rival, decay, stupid, lazy, dumb, unfathomably, hard, impacts, criticism, failure, turbulent,",-0.2
2024110617501.txt,"accessible,acclaimed,achievement,amazing,appealing,appreciated,authentic,awesome,beautiful,beloved,beneficial,blissful,brilliant,capable,charismatic,classic,comfortable,compassionate,confident,considerate,constructive,content,courageous,credible,delightful,dependable,desirable,devoted,dignified,diligent,divine,dynamic,eager,earnest,easygoing,effective,effortless,elegant,elite,embrace,empower,energetic,engaging,enjoyable,enthusiastic,excellent,exceptional,exciting,exquisite,extraordinary,fabulous,faithful,fantastic,fascinating,favorite,fearless,flawless,flexible,flourish,fortunate,friendly,fun,generous,genius,genuine,gifted,glorious,good,graceful,gracious,grand,great,groundbreaking,happy,harmonious,healthy,heartfelt,heroic,honest,honorable,hopeful,ideal,immaculate,impressive,incredible,inspired,invincible,irresistible,joyful,jubilant,kind,knowledgeable,legendary,liberating,lively,lovable,lovely,loyal,luminous,majestic,masterful,meaningful,memorable,mighty,motivated,noble,nurturing,outstanding,passionate,peaceful,perfect,phenomenal,playful,poised,positive,powerful,praiseworthy,priceless,proactive,productive,prosperous,proud,radiant,reassuring,refreshing,reliable,remarkable,resilient,resourceful,respectful,rewarding,rich,romantic,satisfied,secure,sensational,serene,skilled,smart,special,spectacular,spirited,splendid,stellar,successful,superb,supportive,talented,terrific,thrilling,thriving,timeless,top-notch,trustworthy,unique,unstoppable,uplifting,valued,vibrant,victorious,virtuous,visionary,warm,wealthy,welcoming,well-being,wholehearted,wise,wonderful,worthy,zealous,zestful","abrupt,accusation,accuse,accusingly,ache,acrimonious,admonish,afflict,affliction,afraid,aggravate,aggravation,aggression,aggrieved,alarm,alienate,allegation,anger,anguish,animosity,annihilate,annoy,annoying,anxiety,anxious,apathetic,apathy,appall,appalling,apprehension,arrogance,arrogant,ashamed,asinine,assail,assault,atrocity,audacious,austere,avarice,awful,awkward,backbite,backward,bad,baffle,barbaric,baseless,bash,battered,betray,bewilder,bias,blame,bleak,bloated,bloody,blunder,boastful,brash,breakdown,bribe,brutal,bully,bungle,burnt-out,busybody,callous,cancerous,careless,chaos,cheat,cheesy,choke,clumsy,coerce,collude,combat,complacent,complain,complicated,concede,conceited,conflict,confuse,confusion,contaminate,contempt,contradict,controversial,corrupt,crass,cringe,critical,criticism,criticize,cross,crude,cruel,crush,cry,cumbersome,cynical,danger,dangerous,dead,deadbeat,debacle,debilitate,deceit,deceive,decimated,decline,defamation,defeated,defensive,defiant,deficient,degrade,dehumanize,delusion,denial,depressed,depression,deprivation,despair,desperate,despicable,despise,destructive,detached,detest,devastate,dictator,difficult,dire,disappoint,disaster,disastrous,discomfort,discontent,disgrace,disgust,dishearten,disillusion,dislike,disloyal,dismal,dismay,disorder,disrespect,distress,disturbing,divisive,dominate,doom,drab,drain,drastic,dreadful,dreary,drunk,dubious,dull,dumb,dupe,egotistical,embarrass,emotionless,enemy,enrage,entrap,envious,erratic,escape,exasperate,exhaust,exploit,expose,fail,fake,falter,fanatic,farce,fat,fatal,faulty,fear,feeble,feign,filthy,flaky,fool,forbid,fragile,frantic,fraud,frustrate,futile,gall,gamble,gloomy,greedy,grief,grim,grotesque,gross,guilt,hard,hate,hated,hateful,havoc,helpless,hideous,hinder,hostile,humiliate,hurt,hysterical,idiotic,ignorant,illogical,immature,impatient,imperfect,impolite,impossible,inability,inaccurate,inadequate,inappropriate,incompetent,inconvenient,incredulous,indifference,indignant,infamous,inferior,inflict,insecure,insidious,insignificant,insult,insulting,intense,intimidate,irrational,irresponsible,isolated,jaded,jealous,jerk,joyless,kill,lack,lame,languish,lash,lazy,liar,loathe,lost,lousy,ludicrous,malicious,manipulate,mean,mediocre,mess,misery,mistake,mistrust,moody,moron,mourn,muddle,nag,negative,neglect,negligent,nervous,nightmare,noise,noisy,nonsense,numb,obnoxious,obsessive,obsolete,offend,offensive,oppressive,ostracize,outburst,outrage,overwhelmed,panic,paranoid,pathetic,perplex,petty,phobic,pitiful,pity,plague,pointless,poor,powerless,prejudice,pretentious,protest,pry,questionable,quirky,quitter,racist,radical,reckless,regret,rejection,relentless,remorse,repel,repress,reprimand,repulsive,resent,resentment,restrictive,revenge,ridicule,rigid,rotten,rude,ruin,rupture,sabotage,sad,sadden,savage,scandal,scapegoat,scorn,scoundrel,screaming,scum,scurry,serious,shame,shameless,shoddy,shortage,shunned,sick,sinister,sketchy,slander,slimy,sloppy,smear,smug,smut,spiteful,stress,stuck,stupid,subpar,subversive,suffer,superficial,suspicion,suspicious,taint,tarnish,tedious,tense,terrible,terrifying,threat,threaten,threatening,torment,torture,tragic,trapped,trash,trivial,ugly,unbearable,uncaring,uncomfortable,undermine,undesirable,unfair,unfavorable,unforgiving,unfortunate,unfriendly,ungrateful,unhappy,unhealthy,unimportant,unimpressive,unjust,unlucky,unnecessary,unpleasant,unpopular,unreasonable,unsatisfied,unscrupulous,unsure,untrustworthy,upset,useless,vengeful,venomous,vexing,violent,void,vulgar,warped,weary,whine,wicked,worried,worry,worthless",-0.1
2024110612493.txt,"hope,hope,special,celebrate,hopefully,special,proof,inspire,award-winning,best-selling,hope","naive,oppressors,foolishly,oppression,oppression,naive,collapse,mismanagement,hateful,divisive,scarred,chaotic,racism,lose,setback",+0.1
2024110618551.txt,"largest, authoritative, expertise, comprehensive, strongest, unmatched, unrivalled, leader, highly-customised, insights, professionals, worldwide, solution, manage, experience, help, complete, access, build, reaching, provides, professionals, content, industry, defining, technology, portfolio, screen, hidden, relationships, networks, exchanges, standards, trust, principles, news, analysis, matters, media, organizations, events, consumers, financial, national, international, historical, market, data, sources, experts, attorney-editor, multimedia, business, financial, information, accounting, finance, workflow, real-time, mobile, desktop, web, browse, delayed, minimum, list, reserved","weaken, beleaguered, risks",+0.5
2024110617464.txt,"exceptionalism,embraced,important,progress,success,emphasized,interests,experience,forward,exceptionalism,embraced,important,progress,success,emphasized,interests,experience,forward","racist,racist,racist,affliction,weak,weak,wrong,wrong,threatened,obsessed,hard,hard,threatened,obsessed,dangerous",-0.3
2024110617465.txt,"accomplishment,competitive,deserve,hope,importance,institutional,possible,power,powerful,recognition,security,viable,wealthy","aberration,abuse,accusation,accuse,accusingly,afflict,affliction,alienate,anger,animosity,annihilate,annoy,appall,appalling,arrogance,arrogant,assail,assault,atrocity,awful,backward,bad,baffle,bash,battered,betray,bewilder,bias,blame,bleak,bloated,bloody,boastful,brash,breakdown,bribe,brutal,bully,bungle,burnt-out,callous,cancerous,careless,chaos,cheat,choke,clumsy,coerce,collude,combat,complacent,complain,complicated,concede,conceited,conflict,confuse,confusion,contaminate,contempt,contradict,controversial,corrupt,crass,cringe,critical,criticism,criticize,cross,crude,cruel,crush,cry,cumbersome,cynical,danger,dangerous,dead,deadbeat,debacle,debilitate,deceit,deceive,decimated,decline,defamation,defeated,defensive,defiant,deficient,degrade,dehumanize,delusion,denial,depressed,depression,deprivation,despair,desperate,despicable,despise,destructive,detached,detest,devastate,dictator,difficult,dire,disappoint,disaster,disastrous,discomfort,discontent,disgrace,disgust,dishearten,disillusion,dislike,disloyal,dismal,dismay,disorder,disrespect,distress,disturbing,divisive,dominate,doom,drab,drain,drastic,dreadful,dreary,drunk,dubious,dull,dumb,dupe,egotistical,embarrass,emotionless,enemy,enrage,entrap,envious,erratic,escape,exasperate,exhaust,exploit,expose,fail,fake,falter,fanatic,farce,fat,fatal,faulty,fear,feeble,feign,filthy,flaky,fool,forbid,fragile,frantic,fraud,frustrate,futile,gall,gamble,gloomy,greedy,grief,grim,grotesque,gross,guilt,hard,hate,hated,hateful,havoc,helpless,hideous,hinder,hostile,humiliate,hurt,hysterical,idiotic,ignorant,illogical,immature,impatient,imperfect,impolite,impossible,inability,inaccurate,inadequate,inappropriate,incompetent,inconvenient,incredulous,indifference,indignant,infamous,inferior,inflict,insecure,insidious,insignificant,insult,insulting,intense,intimidate,irrational,irresponsible,isolated,jaded,jealous,jerk,joyless,kill,lack,lame,languish,lash,lazy,liar,loathe,lost,lousy,ludicrous,malicious,manipulate,mean,mediocre,mess,misery,mistake,mistrust,moody,moron,mourn,muddle,nag,negative,neglect,negligent,nervous,nightmare,noise,noisy,nonsense,numb,obnoxious,obsessive,obsolete,offend,offensive,oppressive,ostracize,outburst,outrage,overwhelmed,panic,paranoid,pathetic,perplex,petty,phobic,pitiful,pity,plague,pointless,poor,powerless,prejudice,pretentious,protest,pry,questionable,quirky,quitter,racist,radical,reckless,regret,rejection,relentless,remorse,repel,repress,reprimand,repulsive,resent,resentment,restrictive,revenge,ridicule,rigid,rotten,rude,ruin,rupture,sabotage,sad,sadden,savage,scandal,scapegoat,scorn,scoundrel,screaming,scum,scurry,serious,shame,shameless,shoddy,shortage,shunned,sick,sinister,sketchy,slander,slimy,sloppy,smear,smug,smut,spiteful,stress,stuck,stupid,subpar,subversive,suffer,superficial,suspicion,suspicious,taint,tarnish,tedious,tense,terrible,terrifying,threat,threaten,threatening,torment,torture,tragic,trapped,trash,trivial,ugly,unbearable,uncaring,uncomfortable,undermine,undesirable,unfair,unfavorable,unforgiving,unfortunate,unfriendly,ungrateful,unhappy,unhealthy,unimportant,unimpressive,unjust,unlucky,unnecessary,unpleasant,unpopular,unreasonable,unsatisfied,unscrupulous,unsure,untrustworthy,upset,useless,vengeful,venomous,vexing,violent,void,vulgar,warped,weary,whine,wicked,worried,worry,worthless",-0.1
2024110613173.txt,"features, enable, capabilities, effectiveness, improve, experience, insights, preferences, relevant, enable, share, ability, enable, preferences, adjust","block, fraud, prevent, reject, impact",+0.2
2024110623072.txt,"hopeful,progress,amazing,good","bizarre,disparaging,restrictive,stung,disappointing,misogynistic,insulting,prostitute,loss,questioning",-0.3
2024110622393.txt,"excited, popular, great, confident, winning, winning, confident, outperforming","failed, tensions, bucked, grinding, infighting, raged, dominance, tensions, weird, stress, mess, insecurity, outshine, deflected, burden",-0.2
2024110617051.txt,"unique,freedom,opportunity,prosperity,expanded,access,freedoms,freedom,freedom,advocated,freedom,freedom,freedom,gun-owner,famous,inspired,important,beautiful,top,entertainment,client,friend,beautiful,sous-chef,cook,pushed,enshrine,nationwide,vowed,help,first-time,home,adopted,strict,","acrimonious,beaten,rival,critics,criticism,illegal,lacklustre,grilling,unable,divorcing,",-0.1
2024110704572.txt,"proud, peaceful, support, advance, priorities, values, collaborative, free, fair, congratulate, victories, OK, win, important, better, possible, good, sound, strengths, protect, autonomy, resolute, promise, bright, commitment, unity, Americans, Democratic, focused, key, battleground","sad, disappointed, tears, impossible, unhappy, disagreements, concede, contentious",+0.3
2024110611272.txt,"sympathy,emphasised,earning,advocating,humanity","dismiss,denigrate,worst,hurdles,questions,accused,compounded,misogyny,racism,loss,grapple,disenchanted,war,splintered,opposing,blame,defeated,ban,restricting,backlash,isolated,difficult,defeat,fail,failures,lack,concerns,genocide",-0.7
2024110621561.txt,"winner, important, peaceful, graceful, critical, victory, overcame, possible, gratitude, trust, love, promise, bright, freedom, opportunity, fairness, dignity, best, future, freedom, protect, justice, sacred, fundamental, freedoms, respected, upheld, kindness, respect, strength, lift, dignity, deserve, OK, OK, important, freedom, justice, future, build, together, victory, deep, motivated, motivated, extremely, endorsed, vice president","defeating, obstacles, assassination, losing, not, not, not, never, never, never, never, sad, disappointed, sad, disappointed, defeat, frustrations, unhappiness, waned, hurried",-0.1
2024110710585.txt,"victory, win, favor, favoring, favorability, contributed, protecting, smart, surprise,","nonsense, less, lost, unfathomably, painful, animus, rejected, extremism, never, countenance, split, wrong,",-0.3
20241107105810.txt,"comforted, okay, okay, okay, victory, victory, clear, victory, true, leadership, needed, victory, succeed, win, victory, standing, attention, choice, first, first, future, open, lead, thank, lament","fight, sad, disappointed, inability, aggrieved, angst, anxiety, rage, panic, defeat, devastated, blasted, critique, lament",-0.3
2024110617501.txt,"accessible,free,secure,prosperous,first,unite,unite,first,strong,safe,prosperous,fighting","concession,projected,projected,divisions",-0.1
2024110612492.txt,"accomplished,confident,delicate,leadership,meaningful,proud,responsible,skill,smart,sweet,talented,","anti,anti-woman,blatant,careless,chaos,conflict,delusional,died,dysfunctional,executed,flirted,haunting,hate,hurts,ignoring,losing,loss,low,misery,nasty,negative,never,not,phobia,progressives,racism,robbed,sad,sadly,scream,sexist,shrugs,spaces,terrified,terrifying,trash,trashy,Trump,unacknowledged,uncertain,unimpressed,unnecessary,unpleasant,unreasonable,untrustworthy,wrong,",-0.5
2024110619061.txt,"peaceful, victory, potential, profound, remarkable, fresh, purpose, advocate, rights, concerted, effort, connections, serve, anticipated, catapulted, energized, younger, major, candidacy, eager, change, forward, differentiate, popular","concede, rejection, trailed, danger, impeachments, felony, loss, bitter, violent, threat, struggling, stumbled, flamed, limitations, languished, writing, pondered, overturned, odds, restless, unpopular",-0.3
2024110617465.txt,"accomplishment,competitive,competitive,deserve,deserve,deserve,hope,importance,importance,imagination,institutional,viable,wealthy,wealthy,worthy","aberration,abuse,abuse,accusation,accuse,accusingly,alienate,anger,animosity,annihilate,annoy,annoying,appall,appalling,arrogance,arrogant,ashamed,atrocity,awful,backward,bad,betray,bewilder,bias,blame,bleak,brash,breakdown,brutal,chaos,cheat,clumsy,combat,complain,complicated,conflict,confuse,confusion,contaminate,contempt,contradict,controversial,corrupt,crass,cringe,critical,criticism,criticize,cross,crude,cruel,crush,cry,cumbersome,cynical,danger,dangerous,dead,deadbeat,debacle,debilitate,deceit,deceive,decimated,decline,defamation,defeated,defensive,defiant,deficient,degrade,dehumanize,delusion,denial,depressed,depression,deprivation,despair,desperate,despicable,despise,destructive,detached,detest,devastate,dictator,difficult,dire,disappoint,disaster,disastrous,discomfort,discontent,disgrace,disgust,dishearten,disillusion,dislike,disloyal,dismal,dismay,disorder,disrespect,distress,disturbing,divisive,dominate,doom,drab,drain,drastic,dreadful,dreary,drunk,dubious,dull,dumb,dupe,egotistical,embarrass,emotionless,enemy,enrage,entrap,envious,erratic,escape,exasperate,exhaust,exploit,expose,fail,fake,falter,fanatic,farce,fat,fatal,faulty,fear,feeble,feign,filthy,flaky,fool,forbid,fragile,frantic,fraud,frustrate,futile,gall,gamble,gloomy,greedy,grief,grim,grotesque,gross,guilt,hard,hate,hated,hateful,havoc,helpless,hideous,hinder,hostile,humiliate,hurt,hysterical,idiotic,ignorant,illogical,immature,impatient,imperfect,impolite,impossible,inability,inaccurate,inadequate,inappropriate,incompetent,inconvenient,incredulous,indifference,indignant,infamous,inferior,inflict,insecure,insidious,insignificant,insult,insulting,intense,intimidate,irrational,irresponsible,isolated,jaded,jealous,jerk,joyless,kill,lack,lame,languish,lash,lazy,liar,loathe,lost,lousy,ludicrous,malicious,manipulate,mean,mediocre,mess,misery,mistake,mistrust,moody,moron,mourn,muddle,nag,negative,neglect,negligent,nervous,nightmare,noise,noisy,nonsense,numb,obnoxious,obsessive,obsolete,offend,offensive,oppressive,ostracize,outburst,outrage,overwhelmed,panic,paranoid,pathetic,perplex,petty,phobic,pitiful,pity,plague,pointless,poor,powerless,prejudice,pretentious,protest,pry,questionable,quirky,quitter,racist,radical,reckless,regret,rejection,relentless,remorse,repel,repress,reprimand,repulsive,resent,resentment,restrictive,revenge,ridicule,rigid,rotten,rude,ruin,rupture,sabotage,sad,sadden,savage,scandal,scapegoat,scorn,scoundrel,screaming,scum,scurry,serious,shame,shameless,shoddy,shortage,shunned,sick,sinister,sketchy,slander,slimy,sloppy,smear,smug,smut,spiteful,stress,stuck,stupid,subpar,subversive,suffer,superficial,suspicion,suspicious,taint,tarnish,tedious,tense,terrible,terrifying,threat,threaten,threatening,torment,torture,tragic,trapped,trash,trivial,ugly,unbearable,uncaring,uncomfortable,undermine,undesirable,unfair,unfavorable,unforgiving,unfortunate,unfriendly,ungrateful,unhappy,unhealthy,unimportant,unimpressive,unjust,unlucky,unnecessary,unpleasant,unpopular,unreasonable,unsatisfied,unscrupulous,unsure,untrustworthy,upset,useless,vengeful,venomous,vexing,violent,void,vulgar,warped,weary,whine,wicked,worried,worry,worthless",-0.2
2024110613173.txt,"features, enable, capabilities, effectiveness, improve, insights, preferences, relevant, enable, share, ability, enable","fraud, prevention, block, reject, impact, track",+0.2
2024110613172.txt,"victory, growing, low, booming, promising, preserving, democratic, norms, tackling, bread-and-butter, emphasized, centrist, intelligence, qualifications, general, senator, administration, contrast, vision, found, consent, won, contributing, interactive, assistants, services, partners, advertisers, vendors, services, provides, information, choices, available, read, full, picture, use, information, used, use, services, forward, including, including, development, kits, first-party, first-party, including","worse, dissatisfaction, poorly, struggled, enemy, spats, questioned, downplayed, insulted, struggled, war, alienated, dark, exaggerations, inaccuracies, violent, wild, accusations, false, insulted, garbage, guilty, illegally, charges, efforts, charges, contributed, tracking, tracking, unless",-0.3
2024110622393.txt,"excited, popular, great, confident, winning, winning, outperforming","failed, tensions, bucked, grinding, infighting, raged, dominance, tensions, stress, mess, insecurity, outshine, deflected, burden",-0.2
2024110622191.txt,"uplifting,positive,peaceful,congratulated,engage,peaceful,loyalty,loyalty,joyful,determined,reassure,freedom,justice,engaged,kindness,respect,strength,kindness,respect,extraordinary,good,historic,barrier-breaking,conclusion,historic,consolidated,up-tempo","stinging,defeated,refused,loss,despair,tumultuous,catastrophic",+0.3
2024110704576.txt,"victory, advantage, win, supporters, victory, victory, leadership, revival, congratulations, decisively, strength, leadership, salute, cheers, supporters, made, possible,","losses, empty, trash, narrow, crazy, critical, against, sweeping, warn,",+0.1
2024110623441.txt,"empowered, better, supporters, supporters, supporters, supporters, supporters, supporters, waves, encouraged, vision, fighting, win, hopes, rescue, chances, victory, win","lost, conceding, not, not, not, conceded, rejection, fight, defeat, shattered, stalled",-0.2
2024110623442.txt,"optimism, praising, purpose, determination, joy, champion, leader, accurate, support, peaceful, perfect, timely, amazing, better, victory,","danger, impeachments, felony, loss, sad, disappointed, tears, unwillingness, disappointment, defeat, obstacle, sad, violent, insurrection, concerns, devastating, struggling,",+0.1
2024110621042.txt,"popular,","anonymous,block,alert,",+0.1
2024110619592.txt,"functionality, security, prevention, improve, experience, develop, insights, preferences, relevant, interests, share, friends, networks, enable, manage,","fraud, reject, impact,",-0.1
2024110622061.txt,"enthusiasm, progressive, progressive, progressive, progressive, victory, victory, winning, winning, vital, power, minority, minority, deserve, answers, conversation, power,","problem, stark, problem, cede, claw, caught, fire, criticism, misguided, cede, fraying, failure,",0.0
2024110611272.txt,"sympathy,emphasised,earning,understanding,advocating,humanity,opportunity","dismiss,denigrate,worst,hurdles,questions,accused,compounded,sexism,misogyny,racism,loss,grapple,disenchanted,war,splintered,opposing,costing,blame,defeated,ban,restricting,backlash,isolated,difficult,defeat,fail,failures,lack,boasts,concerns,genocide",-0.7
2024110703105.txt,"victory, improve, supported, significantly, advantage, led, solutions, difference, peaceful, congratulating, pride, extraordinary, remarkable, hope, great, encouraging, necessary, orderly, sensitive, reiterate, sensitive","abandoned, sharply, barely, undo, lost, pollution, failed, expensive, failed, problems, delay, limiting, sensitive",-0.1
2024110618282.txt,"popular,skilled,","disrupting,cold,price-gouging,anti-populist,angry,extreme,discontent,shadow,plunder,thief,",-0.7
2024110619171.txt,"congratulated, victory, expected, confirmed, historically, clear, decisive, win, performance, records, supported, supported, supported,","unpopular, disapproval,",+0.1
2024110703101.txt,"live, supporters, gathered, delivered, elected, president, estimated, confidence, congratulated, win, strengthening, cooperation, allies, security, director, growing, expanding, strengths, improving, competitiveness, agreed, successful, partnership, enduring, discussed, global,","lost, conceding, hard, narrow, warning, fabricated, undermine, falsely, pressure, threats, targeting, war, restrict, falsely, falsely, falsely, false, nuclear-armed, war, provision, threats, targeting, war, restrict, falsely, falsely, falsely, false,",-0.3
20241107105810.txt,"comforted, okay, okay, okay, victory, victory, clear, victory, true, leadership, needed, victory, succeed, win, victory, victory, standing, attention, choice, first, first, future, open, lead, thank, lament","fight, sad, disappointed, inability, aggrieved, angst, anxiety, rage, panic, defeat, devastated, blasted, critiqued, lament",-0.3
2024110620231.txt,"congratulate, peaceful, glorious, golden, optimistic, destiny, surge, popularity, protecting, leaders, mission, win, important, enjoyed, resurgence","defeated, recede, concede, defeated, disastrous, decay, stupid, lazy, dumb, unfathomably, hard, failure, turbulent, criticism, impacts, under-performed, criticism, failure, turbulent",-0.2
2024110617502.txt,"features, enable, capabilities, effectiveness, improve, insights, preferences, relevant, enable, share, ability, impact, associate","block, fraud, prevent, reject, track",-0.1
2024110705071.txt,"improved, plenty, decisive, improved, improved, winning, won, won, won, won, won, reelected, great, leadership, respect, responded, leading,","abandoned, angry, backlash, frustrated, lack, didn't, elitist, criticism, worthless,",-0.3
2024110704578.txt,"celebratory, remarkable, celebrate, pride, congratulated, praised","shifted, commanding, not, against, former, only, regardless, Notice, explains, use, tracking, choices, use, use, use, unless, stated, use, use, fraud, block, not",-0.1
2024110701211.txt,"pioneer,role model,bright,tradition,promise,imagination,deliberately,understood,indubitably,won,redolent,metaphors","defeat,concession,floppy,subversion,abbreviated,tears",+0.2
2024110613172.txt,"victory, growing, low, booming, promising, preserving, democratic, norms, tackling, bread-and-butter, emphasized, centrist, intelligence, qualifications, general, senator, administration, contrast, vision, found, consent, won, contributing, interactive, connected, choices, full, picture, use, information, used, technologies, including, development, kits, placed, including","worse, dissatisfaction, poorly, struggled, enemy, spats, insulted, alienated, dark, exaggerations, inaccuracies, violent, wild, accusations, false, insulted, garbage, guilty, illegally, charges, influencing, porn, efforts, charges, Notice, tracking, choices, use, tracking, unless, stated",-0.3
2024110623442.txt,"optimism, praising, purpose, determination, joy, champion, leader, accurate, support, peaceful, perfect, timely, appreciated, amazing, better,","danger, impeachments, felony, loss, sad, disappointed, tears, unwillingness, disappointment, obstacle, defeat, sad, violent, insurrection, interrupted, concerns, devastating, struggling, loss, deep, hole,",-0.3
2024110621042.txt,"popular,","anonymous,less,necessary,block,alert,not",0.0
2024110611272.txt,"sympathy,emphasised,earning,understanding,advocating,humanity,opportunity,power","dismiss,denigrate,worst,hurdles,questions,accused,compounded,sexism,misogyny,racism,loss,grapple,disenchanted,war,splintered,opposing,blame,defeated,ban,restricting,backlash,isolated,difficult,defeat,fail,failures,lack,concerns,genocide",-0.6
2024110618282.txt,"popular,skilled,","disrupting,cold,price-gouging,anti-populist,angry,extreme,discontent,shadow,plunder,thief,",-0.8
2024110619171.txt,"congratulated, victory, expected, confirmed, historically, decisive, win, prevailed, performance, records, supported, supported, supported,","unpopular, disapproval, challenges,",+0.1
20241107105810.txt,"comforted, okay, okay, okay, victory, victory, clear, victory, true, leadership, needed, victory, succeed, win, victory, victory, standing, attention, choice, first, first, future, open, lead, thank, lament","fight, sad, disappointed, inability, aggrieved, angst, anxiety, rage, panic, devastated, blasted, critique, lament",-0.3
20241107045710.txt,"effective,preferences,interactive,smart,properly,remember","responsible,deleted,disable,disable,disable,disable",-0.2
2024110705071.txt,"improved, plenty, decisive, improved, improved, winning, won, won, won, won, won, won, reelected, great, leadership, respect, responded, leading,","finger-pointing, critics, lost, lost, lost, backlash, frustrated, lack, angry, criticism, scathing, rebuke, ignoring, abandoned, abandoned, defends, status quo, angry, elitism, frustrated, lack, elitist, criticism, worthless,",0.0
2024110612492.txt,"accomplished,confident,delicate,proud,smart,","anti,anti-woman,blatant,careless,delusional,died,dysfunctional,executed,flirted,haunting,hate,ignoring,losing,low,lost,nasty,negative,never,not,robbed,sad,sadly,scream,screamed,sexist,terrified,terrifying,trash,trashy,",-0.6
2024110622191.txt,"uplifting,positive,peaceful,congratulated,engage,peaceful,loyalty,loyalty,joyful,determined,reassure,freedom,justice,engaged,kindness,respect,strength,kindness,respect,extraordinary,good,historic,barrier-breaking,conclusion,historic,consolidated,up-tempo","stinging,defeated,refused,loss,despair,tumultuous,catastrophic",+0.3
2024110704576.txt,"victory, advantage, win, supporters, victory, victory, leadership, revival, congratulations, decisively, strength, leadership, salute, cheers, supporters, possible,","losses, empty, trash, narrow, crazy, critical, against, sweeping, warn,",+0.1
